produkt,variante,preis,beschreibung_de,beschreibung_fr,beschreibung_en,bild_url
Recovery Shake - Dose 900g,"Vanilla, Chocolate, Banana",21.00,"All-in-One Kohlenhydrat-Protein-Shake für Aufbau & Regeneration. Hochwertige Proteine, schnelle Energie, ideal vor/nach dem Training.","Shake glucido-protéiné tout-en-un pour la construction et la régénération. Protéines de qualité, énergie rapide, idéal avant/après l’entraînement.","All-in-one carb-protein shake for muscle building & recovery. High-quality proteins, quick energy, ideal before/after training.",https://sponser.ch/cdn/shop/files/Recovery-Shake_Chocolate_1200x.png?v=1719391160
Multi Protein (New) - Dose 425g,"Chocolate-Pistachio, Vanilla, Banana, Chocolate, Strawberry",21.00,"Mehrkomponenten-Eiweiss: Molke, Casein, Eialbumin. Für Muskelaufbau, Regeneration, Mahlzeitenersatz. Hoher Aminosäuren- & BCAA-Gehalt.","Protéine multi-composants: lactosérum, caséine, ovalbumine. Pour la construction musculaire, la régénération ou en repas. Riche en acides aminés & BCAA.","Multi-component protein: whey, casein, egg albumin. For muscle building, recovery or meal replacement. High in amino acids & BCAA.",https://sponser.ch/cdn/shop/files/Multi-Protein_425g_Chocolate-Pistachio_5000x.png?v=1746003576
Whey Isolate 94 - Dose 425g,"Vanilla, Chocolate, Strawberry, Mango, Caffe-Latte, Joghurt-Lemon",21.00,"Grass-fed Whey, höchste Qualität & CFM-filtriert. Muskelaufbau, Regeneration, fett- & kohlenhydratarm, laktosefrei. Diätgeeignet.","Whey d’herbe, qualité supérieure, filtré CFM. Pour la construction musculaire, la régénération, pauvre en lipides & glucides, sans lactose.","Grass-fed whey, top quality & CFM-filtered. Muscle building, recovery, low in fat & carbs, lactose-free. Diet-friendly.",https://sponser.ch/cdn/shop/files/Whey-Isolate-94_425g_Vanilla_1200x.png?v=1719391957
Whey Isolate 94 - Dose 850g,"Vanilla, Chocolate, Banana, Neutral",38.00,"Grass-fed Whey, höchste Qualität & CFM-filtriert. Muskelaufbau, Regeneration, fett- & kohlenhydratarm, laktosefrei. Diätgeeignet.","Whey d’herbe, qualité supérieure, filtré CFM. Pour la construction musculaire, la régénération, pauvre en lipides & glucides, sans lactose.","Grass-fed whey, top quality & CFM-filtered. Muscle building, recovery, low in fat & carbs, lactose-free. Diet-friendly.",https://sponser.ch/cdn/shop/files/Whey-Isolate-94_425g_Chocolate_5000x.png?v=1719391709
Whey Isolate 94 - Beutel 1500g,"Chocolate, Strawberry, Banana, Neutral",58.00,"Grass-fed Whey, höchste Qualität & CFM-filtriert. Muskelaufbau, Regeneration, fett- & kohlenhydratarm, laktosefrei. Diätgeeignet.","Whey d’herbe, qualité supérieure, filtré CFM. Pour la construction musculaire, la régénération, pauvre en lipides & glucides, sans lactose.","Grass-fed whey, top quality & CFM-filtered. Muscle building, recovery, low in fat & carbs, lactose-free. Diet-friendly.",https://sponser.ch/cdn/shop/files/Whey-Isolate-94_Beutel_Strawberry_5000x.png?v=1719391939
Protein 50 - 1 Box (25 x 50g),Chocolate,45.00,"Multiproteinriegel mit 50 % Eiweiss aus 5 Quellen. Praktisch für unterwegs, ersetzt Shake. Muskelaufbau & -erhalt.","Barre multiprotéinée avec 50% de protéines. Rassasiant, peu de sucre, idéal en déplacement ou après le sport.","Multi-protein bar with 50% protein. Filling, low sugar, ideal on-the-go or after training.",https://sponser.ch/cdn/shop/files/Protein-50_Display_Chocolate_5000x.png?v=1740045441
Crunchy Protein Bar - 1 Box (12 x 50g),"Pinat-Caramel, Rasperry",24.50,"Proteinreicher, knuspriger Snack. Ideal vor/nach dem Sport & unterwegs. Unterstützt Muskelaufbau & Sättigung.","Barres protéinées croustillantes, riches en protéines & fibres. Parfaites en snack ou après l’entraînement.","Crunchy protein bars, high in protein & fiber. Perfect as a snack or post-workout.",https://sponser.ch/cdn/shop/files/Crunchy-Protein_Raspberry_5000x.png?v=1719386186
High Energy Bar - 1 Box (30 x 45g),"Banana, Berry, Apricot-Vanilla, Salty-Nuts",45.00,"Energiereicher Riegel mit Kohlenhydraten (kurz-mittel-langkettig). Gestaffelte Energie, milcheiweisshaltig – ideal für Ausdauersport.","Barre riche en glucides pour une énergie durable. Avec protéines, idéale pour l’endurance.","Carb-rich bar for long-lasting energy. With protein, ideal for endurance sports.",https://sponser.ch/cdn/shop/files/High-Energy_Salty-Nuts_5000x.png?v=1719386891
Energy Balls - 1 Box (18 X 45g),"Blueberry, Mango, Salted-Caramel",30.50,Fruchtig-getreidehaltige Energy Balls. Schnelle Energie & ideal zum Snacken bei Sport & Outdoor.,Boules énergétiques fruitées avec céréales. Pratiques pour le sport ou en snack nomade.,Fruity energy balls with grains. Handy for sports or as an on-the-go snack.,https://sponser.ch/cdn/shop/files/Energy-Balls_Mango_5000x.png?v=1726665605
Protein Low Carb Bar - 1 Box (18 x 35g),"Chocolate, Vanilla",48.00,"Proteinriegel mit wenig Kohlenhydraten. Eiweissreicher Snack für unterwegs, Muskelaufbau & -erhalt.",Barre protéinée pauvre en glucides et sucre. Snack sain pour préserver la masse musculaire.,Protein bar low in carbs and sugar. Healthy snack to maintain muscle mass.,https://sponser.ch/cdn/shop/files/Protein-Low-Carb_Display_Choco-Brownie_5000x.webp?v=1739876644
Competition - Dose 1000g,"Orange, Fruit Mix, Strawberry, Citrus, Cool Mint",17.00,"Säurefreies, hypotones Sportgetränk (Multi-Carb). Für Energie, Mineralstoffe & Rehydrierung bei Ausdauerbelastungen.","Boisson sportive hypotonique et peu acide, sans additifs artificiels. Apporte énergie & minéraux.","Hypotonic, low-acid sports drink, no artificial additives. Provides energy & minerals.",https://sponser.ch/cdn/shop/files/Competition_Orange_5000x.png?v=1719384951
Isotonic - Dose 1000g,"Red Orange, Citrus, Fruit Mix, Ice Tea",16.00,"Isotonischer Durstlöscher mit Multi-Carb-Formel. Für Hydration, Energie & Erholung, fruchtiger Geschmack.",Boisson isotonique multi-glucides avec minéraux. Hydratation & récupération optimales.,Isotonic multi-carb sports drink with minerals. Optimal hydration & recovery.,https://sponser.ch/cdn/shop/files/Isotonic_Red-Orange_5000x.png?v=1719386830
Carbo Loader - Dose 1200g,Citrus-Orange,19.00,Hochkonzentrierte Kohlenhydrat-Elektrolyt-Lösung für effizientes Carboloading. Volle Energiespeicher – leicht verdaulich.,Solution glucido-électrolytique pour un carboloading rapide avant compétition. Facile & digeste.,Carb-electrolyte solution for fast carboloading before competition. Easy & well-tolerated.,https://sponser.ch/cdn/shop/files/Carbo-Loader_Citrus-Orange_1200x.png?v=1719384506
Basic Minerals - Dose 400g,Citrus,14.00,"Die basische Mineralsalzmischung enthält Kalium, Calcium, Magnesium, Eisen und Zink. Magnesium trägt zum Elektrolyt-Gleichgewicht bei, Eisen unterstützt den Sauerstofftransport und Zink unterstützt den Säure-Basen-Stoffwechsel.","Le mélange de sels minéraux basiques contient du potassium, du calcium, du magnésium, du fer et du zinc. Le magnésium contribue à l'équilibre électrolytique, le fer favorise le transport de l'oxygène et le zinc soutient le métabolisme acido-basique.","The alkaline mineral salt mixture contains potassium, calcium, magnesium, iron and zinc. Magnesium contributes to the electrolyte balance, iron supports oxygen transport and zinc supports the acid-base metabolism.",https://sponser.ch/cdn/shop/files/Basic-Minerals_Citrus_2048x.png?v=1719384214
Glucosamin Chondroitin + MSM - Dose (180 Tabletten),Neutral,20.50,"Nahrungsergänzung für Gelenke, Knorpel, Knochen. Mit Kollagen, Glucosamin, Chondroitin, MSM & Vitamin C.","Complément alimentaire pour articulations, cartilage, os. Avec collagène, glucosamine, chondroïtine, MSM & vitamine C.","Supplement for joints, cartilage, bones. With collagen, glucosamine, chondroitin, MSM & vitamin C.",https://sponser.ch/cdn/shop/files/Glucosamin-Chondroitin_5000x.png?v=1719386150
Creatine Monohydrate - 500g,Neutral,24.00,"Wirkung von Kreatin:Kreatin erhöht die körperliche Leistungsfähigkeit bei kurzfristiger, intensiver körperlicher Anstrengung und unterstützt daher auch die Entwicklung und Erhaltung der Muskelmasse.Kreatin sorgt auch für erhöhte Energiereserven in den Muskelzellen.",Effet de la créatine:La créatine augmente les performances physiques lors d'efforts physiques intenses de courte durée et soutient donc également le développement et le maintien de la masse musculaire.La créatine permet également d'augmenter les réserves d'énergie dans les cellules musculaires.,"Effect of creatine:Creatine increases physical performance during short-term, intensive physical exertion and therefore also supports the development and maintenance of muscle mass.creatine also ensures increased energy reserves in the muscle cells.",https://sponser.com/cdn/shop/files/Creatine-Monohydrate_800x.png?v=1719384978